# Commit map for the 2026-09-22 history rewrite
#
# Large regenerable artifacts (prediction arrays, fitted models, processed
# parquets) were removed from the git history with git-filter-repo, which
# rewrites every commit hash. experiments/runs.csv records the commit each run
# was trained on in its git_hash column; use this map to translate those
# pre-rewrite hashes to the current ones. An archival bundle of the original
# history is kept offline.
#
# old_hash new_hash

8495506701a87f816ccba955fa46e4b9f5fa678e 69e451c7a4c5f1a6a61cfce5dfb50fff4679e330
93abe902b3900b5b2839a461243dd00a2ca0f16a 9ac55f0a14adbb51f398a4eb47986ca570b02927
93e3f7381ddb86388034129a677bce29193d3dd7 1bb653bd3211624a974029df59e6cf0555175e3b
957b3293327282432d5d12bef3eb7360fe0eb511 8d79cac3a56d3cb84c0f67010ef1fe013488fbba
9a4523452681c904ac89306e67490ae5b0adea9d 7e4b1de6ffd47d390c7e85b47e8fb64891b9c68b
9c4d0522a41d3ce737b50e45d652a7f2ab70a80f bbab28410602fcd550c93af75f3303b509cff73a
9cdf0dc283f2e284c332d58d2261f9ae73e3f43f f879b29b9439c28ce82dd1dc73e6eb5e548011f8
a1cb77892389c56016aa8f7b63500e34e9ad5dd5 b47121a8cf71d7c201a25d8c041b3445425acbdb
a3d2ee852e9c0d64f1ff03d2e5093ff9afada894 adb61bfd724a1565b331f432866e7a2aff6d824f
a75d3759a2c8051c6363845e30c2f002af6090d9 c4fe6fe5b9803380f9021d706eb585200dc5ad28
a7bed33ce4c3139cef6ca2a1bc7097cf21452bd4 e4ad7eb697914a962ceaf3e58ec3aac1320b8084
a82f805615059710a1cfe94a2e8679a37f3c9644 8dfd45c2c30bc32741a5254b3dd2364e057c3efe
a85ca00a7f61cae7bf94535cb2f2f8b502d3d5d0 e9900236e0d12a8d28c45ba6141e3db6567ae643
a90cbc45da8891a4f89830f5fc2f3364f05951f0 b75678d949ff26de5ccb1920eb3b471efab21cb7
a9e15c2768d9d78c33328371fb5110ea5e9e164e 8c32931cf143fcf294e5a4ff09909befed512c82
ac61a919a22ef862998681c9cb8db136c08ba7c1 9043fe9e4ce176438d7e8723ffb0bd5d53d71570
ac73fed5e73e5f4b99843f8827dabb33626b0fd5 4507fd64e6825c5daba738c76fac1043cda91cec
