run_id,timestamp,tag,notes,status,parent_run_id,git_hash,git_dirty,data_hash,python_version,platform,model_class,params_hash,cv_type,n_splits,random_state,n_train,n_test,n_features,metric,fold_scores_mean,fold_scores_std,oof_score,training_time_sec,lb_public,lb_private,artifact_dir
20260424-194123-594ade,2026-04-24T19:41:56,lgbm-best-params-reproduce,First logged run — should reproduce Baselines.ipynb 5-fold OOF (~0.8618).,success,,aed9454,True,c2a74ccb141b,3.14.3,Windows-11-10.0.26200-SP0,LGBMClassifier,8942edfe,StratifiedKFold,5,42,594194,254655,40,accuracy,0.8617236114382896,0.0006049634322676646,0.8617236121536064,24.712677900097333,,,experiments\runs\20260424-194123-594ade
20260424-195649-307853,2026-04-24T19:57:46,xgb-best-params,XGBoost with Optuna best params from Baselines.ipynb.,success,,aed9454,True,c2a74ccb141b,3.14.3,Windows-11-10.0.26200-SP0,XGBClassifier,ef49b55d,StratifiedKFold,5,42,594194,254655,40,accuracy,0.8619625898989958,0.0007600811823151197,0.8619625913422215,54.46678760019131,,,experiments\runs\20260424-195649-307853
20260424-200702-c831e4,2026-04-24T20:08:36,catboost-best-params,CatBoost with Optuna best params from Baselines.ipynb.,success,,890ede9,False,c2a74ccb141b,3.14.3,Windows-11-10.0.26200-SP0,CatBoostClassifier,835e38f8,StratifiedKFold,5,42,594194,254655,40,accuracy,0.8616966840244995,0.000671667158451157,0.8616966849210864,93.26409699989017,,,experiments\runs\20260424-200702-c831e4
